measurement_name	bin_idx	bin_start_um	bin_end_um	bin_mid_um	bin_width_um	total_count_px	n_images	mean	sd	sem
fixed_tagyfp_bgz_over_dapi_gate	0	0.11603163927793503	115.61204528808594	77.038330078125	115.496013648808	449175	31	0.00048825490117568765	0.0004161175537806607	7.473691892541831e-05
fixed_tagyfp_bgz_over_dapi_gate	1	115.61212921142578	167.4784393310547	142.90020751953125	51.866310119628906	449175	32	0.00024616375492314546	0.00042266723328589906	7.471771671045391e-05
fixed_tagyfp_bgz_over_dapi_gate	2	167.4785919189453	207.0979766845703	188.09056091308594	39.619384765625	449175	32	0.0001814740762640099	0.0003174326231688429	5.611469010313069e-05
fixed_tagyfp_bgz_over_dapi_gate	3	207.09808349609375	238.76220703125	223.4200439453125	31.66412353515625	449175	32	0.00013007469540582406	0.0002325014918357187	4.1100845378256347e-05
fixed_tagyfp_bgz_over_dapi_gate	4	238.76222229003906	265.4906921386719	252.44879150390625	26.728469848632812	449176	34	0.00012096847696257635	0.00018065592633187275	3.098223576352548e-05
fixed_tagyfp_bgz_over_dapi_gate	5	265.4906921386719	288.98443603515625	277.4817199707031	23.493743896484375	449176	34	0.00011087880859443376	0.00015446610990466162	2.6490719301116735e-05
fixed_tagyfp_bgz_over_dapi_gate	6	288.9844970703125	309.8769836425781	299.61505126953125	20.892486572265625	449175	34	7.562914448927211e-05	0.000126993076863089	2.1779133004913635e-05
fixed_tagyfp_bgz_over_dapi_gate	7	309.8770751953125	328.8922424316406	319.5175476074219	19.015167236328125	449175	34	5.5708696730588976e-05	0.0001124885074033061	1.9291619864459626e-05
fixed_tagyfp_bgz_over_dapi_gate	8	328.8923645019531	346.41064453125	337.7571716308594	17.518280029296875	449176	34	4.87354759236362e-05	9.937243051165658e-05	1.704223123492138e-05
fixed_tagyfp_bgz_over_dapi_gate	9	346.41064453125	362.8242492675781	354.7030029296875	16.413604736328125	449176	34	4.5032450722547926e-05	8.983269233408943e-05	1.540617963483864e-05
fixed_tagyfp_bgz_over_dapi_gate	10	362.82427978515625	378.3209228515625	370.6464538574219	15.49664306640625	449175	34	4.0020001292492344e-05	8.548591963088734e-05	1.46607142663034e-05
