measurement_name	bin_idx	bin_start_um	bin_end_um	bin_mid_um	bin_width_um	total_count_px	n_images	mean	sd	sem
fixed_tagyfp_bgz_over_dapi_gate	0	0.09012401849031448	110.72789001464844	73.79715728759766	110.63776599615812	819754	36	0.000112705114891772	7.174914402880224e-05	1.195819067146704e-05
fixed_tagyfp_bgz_over_dapi_gate	1	110.72795867919922	156.5625762939453	134.95480346679688	45.834617614746094	819755	36	0.0001124744669848749	7.363810482316277e-05	1.2273017470527128e-05
fixed_tagyfp_bgz_over_dapi_gate	2	156.5625762939453	191.7302703857422	174.7366485595703	35.167694091796875	819755	36	0.00010960212865837902	7.595643715675665e-05	1.2659406192792775e-05
fixed_tagyfp_bgz_over_dapi_gate	3	191.73031616210938	221.38168334960938	206.9105224609375	29.6513671875	819755	36	0.00010730271398844909	7.743202387959595e-05	1.290533731326599e-05
fixed_tagyfp_bgz_over_dapi_gate	4	221.38168334960938	247.51458740234375	234.6889190673828	26.132904052734375	819755	36	0.00010709487049906683	8.328922195384867e-05	1.3881536992308113e-05
fixed_tagyfp_bgz_over_dapi_gate	5	247.5146026611328	271.18231201171875	259.5225524902344	23.667709350585938	819755	36	0.00010887650728363951	9.0025154930688e-05	1.5004192488448e-05
fixed_tagyfp_bgz_over_dapi_gate	6	271.18231201171875	293.0216064453125	282.23260498046875	21.83929443359375	819755	36	0.00011149498206779956	0.00010130779394860801	1.6884632324768002e-05
fixed_tagyfp_bgz_over_dapi_gate	7	293.0216369628906	313.46197509765625	303.34393310546875	20.440338134765625	819754	36	0.00011616012578643777	0.00012180967657895939	2.03016127631599e-05
fixed_tagyfp_bgz_over_dapi_gate	8	313.4620666503906	332.790771484375	323.21405029296875	19.328704833984375	819754	36	0.00012095742933284883	0.00014427830894723706	2.404638482453951e-05
fixed_tagyfp_bgz_over_dapi_gate	9	332.79083251953125	351.1492614746094	342.0450439453125	18.358428955078125	819755	36	0.0001245246606724019	0.000161919613566891	2.6986602261148503e-05
fixed_tagyfp_bgz_over_dapi_gate	10	351.1492614746094	368.67169189453125	359.97686767578125	17.522430419921875	819755	36	0.00012786820809651545	0.00017053258331494142	2.8422097219156902e-05
fixed_tagyfp_bgz_over_dapi_gate	11	368.6717224121094	385.443603515625	377.11419677734375	16.771881103515625	819754	36	0.00013063838792327765	0.00017635679526646774	2.9392799211077956e-05
fixed_tagyfp_bgz_over_dapi_gate	12	385.44366455078125	401.570068359375	393.5552062988281	16.12640380859375	819756	36	0.00013169812405067205	0.00018030477994647142	3.0050796657745237e-05
fixed_tagyfp_bgz_over_dapi_gate	13	401.570068359375	417.1886291503906	409.41632080078125	15.618560791015625	819755	36	0.00013248231049247907	0.00018309948076036713	3.0516580126727856e-05
fixed_tagyfp_bgz_over_dapi_gate	14	417.18865966796875	432.385009765625	424.8204345703125	15.19635009765625	819754	36	0.00013188142475605168	0.00018351785474116214	3.058630912352702e-05
fixed_tagyfp_bgz_over_dapi_gate	15	432.3850402832031	447.22393798828125	439.83111572265625	14.838897705078125	819754	36	0.000128204047756005	0.00018479367284517085	3.079894547419514e-05
fixed_tagyfp_bgz_over_dapi_gate	16	447.2239685058594	461.7875671386719	454.525634765625	14.5635986328125	819754	36	0.00012633972807584036	0.000186910073823213	3.1151678970535496e-05
fixed_tagyfp_bgz_over_dapi_gate	17	461.7876281738281	476.1015930175781	468.9639892578125	14.31396484375	819755	36	0.00012444614228949527	0.00019257947245272054	3.209657874212009e-05
