gene_symbol
OTX2
SIX3
LHX2
CRABP1
HOXA2
EGR2
RNF220
PTCH1
LMX1A
WNT3A
ZIC2
MSX1
IRX3
SOX2
PAX3
FOXD3
SOX10
SNAI2
TFAP2A
TFAP2B
TUBB3
ELAVL3
STMN2
CDX2
CDX4
HOXA9
HOXB3
HOXD3
TBXT
FGF8
NOTO
MSGN1
TCF15
MEOX1
RIPPLY1
FOXC2
FOXC1
PAX8
ITGA8
HAND1
TMEM88
PRRX1
GRHL2
CDH1
