cluster
Forebrain / Midbrain
Hindbrain
Intermediate-Ventral Spinal Cord
Dorsal Spinal Cord
Roof Plate
Neural Crest
Immature Neuron
Posterior Neural Tube
Neuromesodermal Progenitors
Floor Plate
Notochord
Presomitic Mesoderm
Early Somite
Mature Somite
Intermediate Mesoderm
Lateral Plate Mesoderm
Endothelial
Non-Neural Ectoderm
