gene_symbol
FZD5
RAX
SIX6
SIX3
LINC01833
FEZF1
FOXG1
LHX2
OTX2
POU3F1
PBX3
CRABP1
HOXA2
GNG2
EGR2
ROBO2
NRXN1
FGF13
RGS20
CLIP1
RNF220
NTRK2
RARB
PTCH1
HES5
PAX6
FGFBP3
SOX3
SOX2
TTYH1
RFX4
PANTR1
POU3F2
FIGN
SFRP1
NES
VCAN
IGDCC3
WLS
CNPY2
ID1
ID2
CRNDE
IRX3
SALL2
SRGAP3
KIF21A
GPM6B
HES4
SFRP2
CDH2
PAX3
OLIG3
CASZ1
MSX2
ZIC1
ZIC2
MSX1
LMX1A
WNT3A
PAX7
PLP1
FOXD3-AS1
FOXD3
SCRG1
LINC01198
S100B
ERBB3
SOX10
MPZ
EDNRA
SOX9
SNAI2
TFAP2A
TFAP2B
NPR3
MAP2
FNDC5
NTRK1
AFAP1
DCC
ST18
ONECUT1
CHGA
CHRNA1
P2RX3
DRD2
OTP
FGF14
SVOP
PRDM12
HES6
VSX1
MFNG
IGFBPL1
NEUROG2
PRMT8
FRRS1L
SNCAIP
SNCG
TAGLN3
ELAVL2
ONECUT2
SCG3
NEFM
DCX
ELAVL3
STMN2
INA
TUBB3
SRRM4
RASD1
INSM1
NHLH1
NEUROD1
PPP1R17
NEUROD4
NEUROG1
HOXA9
HOXC9
HOXC8
HOXC6
HOXB-AS3
HOXB9
HOXB3
LINC02381
HOXD3
HOXB7
C3orf52
HOXA-AS3
CDX4
CDX2
URAD
LYPD6B
FGF8
GMPR
WNT5A
TBXT
RAB3B
PPP1R14C
ITM2A
TFF3
FOXA1
FOXA2
SHH
MNX1
NOTO
SAMD3
CHRD
EGF
SPP1
RARRES2
MSGN1
DLL3
HES7
RIPPLY1
MEOX1
RIPPLY2
SSTR2
FOXC2
TCF15
ARHGAP10
SIX1
FST
PDGFRA
EYA2
TWIST1
FLRT2
FOXC1
FOXD1
PAX9
UNCX
MEOX2
IGFBP5
LAMB1
CREB3L2
SULF1
MEGF10
ETS1
WT1
PAX8
PAX2
ITGA8
OSR1
PITX1
GATA6
GATA6-AS1
HAND1
HAND2
TNNI1
TNNT2
RBM20
RYR2
ALPK2
TMEM88
IGF2
RGS5
BAMBI
LIX1
PCDH7
RUNX1T1
CTTNBP2
FAM89A
ATF7IP2
WWTR1
ARHGAP28
DLC1
ARHGAP29
DDR2
PRRX1
LUM
COL3A1
COL1A1
SOX6
COL6A3
COL6A2
ALX4
SVEP1
S100A10
KRT19
KRT8
KRT18
CDH1
CLDN6
CLDN7
EPCAM
KRT7
WNT6
MIR205HG
TACSTD2
STOM
GATA3
GRHL1
GRHL2
PRDM1
