marker_key	bin_index	bin_center_um	mean_fraction	std_fraction	mean_intensity_fraction	std_intensity_fraction	mean_intensity_all_fraction	std_intensity_all_fraction	mean_soft_intensity_fraction	std_soft_intensity_fraction	n_organoids
mesp2	0	8.894567339046851	0.5643663038324442	0.11870564135612983	0.13120056684797193	0.03850748018729138	0.12895378255979714	0.03643057858404131	0.13816700915467425	0.047075960966481256	28
mesp2	1	26.683702017140554	0.5100997315987564	0.16277022655948215	0.1334398395611277	0.0393546919193352	0.13044023945335148	0.03764347682854351	0.1403476425037489	0.048825873509383465	67
mesp2	2	44.47283669523426	0.5073812296706226	0.16318172707540085	0.12876575055177547	0.032328235916794845	0.12617904916303224	0.031141388366807635	0.1347308878890632	0.038483023023831164	67
mesp2	3	62.26197137332796	0.5030668438655992	0.1596762914762692	0.11972097354511944	0.02265973451745925	0.11750176898467836	0.022456743809867123	0.12270578296627468	0.025536428410840546	67
mesp2	4	80.05110605142167	0.486030174437699	0.155521480490136	0.10737106445554429	0.019201064055636916	0.10612629741708098	0.018631758865092767	0.10784537266952093	0.02409430983370416	67
mesp2	5	97.84024072951536	0.4583445076819302	0.15693956575699997	0.09190880973230796	0.022010264111675976	0.09180617248111633	0.01969843828067073	0.08949283344727157	0.028218692600317084	67
mesp2	6	115.62937540760907	0.4259284876593848	0.16559270300724968	0.07553722315767429	0.02504846465626433	0.07640584760179828	0.022053890555741806	0.07128456931666785	0.029586622813369125	67
mesp2	7	133.41851008570276	0.38769774017708913	0.1692480016962223	0.05963244328165489	0.027431114542297862	0.06132814259245518	0.025398912081843722	0.05531323041903026	0.03226151149021934	67
mesp2	8	151.20764476379648	0.33793823690842795	0.1817282961713699	0.0430549431167782	0.02826090592257287	0.045617138195314835	0.027661526785995372	0.03896905809222556	0.033039233632787705	67
mesp2	9	168.99677944189017	0.26507998649369785	0.18685746872191114	0.026913154561819842	0.027680313715431944	0.029625970620301888	0.028102404233055055	0.02324308831358308	0.031024114404805663	67
mesp2	10	186.7859141199839	0.17503869158626553	0.17400267933625524	0.01464765946383598	0.024519459927299092	0.016865452137799154	0.025837718951228224	0.012422037522670596	0.026852067965025397	67
mesp2	11	204.57504879807757	0.09584884971763949	0.14597080178726993	0.007055775286350341	0.019894271258431923	0.008573444847096455	0.0212792065264515	0.006058693593902348	0.02086114821296864	65
mesp2	12	222.3641834761713	0.05203833170818159	0.11562021534260918	0.0029327693913663625	0.010779287376023853	0.003678144229654227	0.011712408258967157	0.002389211141277688	0.009877673237029054	57
mesp2	13	240.15331815426498	0.031560872356445877	0.09279160189162325	0.0010641625575823878	0.005425990245024471	0.0012861171901071297	0.005321898602185838	0.0007518085580535399	0.00397144159658823	47
mesp2	14	257.9424528323587	0.017902637665668228	0.06342759996841234	0.00045094849873580516	0.0028714469473552448	0.00048006361647331795	0.0032771359650852375	0.0002864531810720127	0.0017102206577498875	37
mesp2	15	275.7315875104524	0.012049767559030342	0.0431310210143324	0.00019145639718398853	0.0012773065468422383	0.00021775752319294723	0.002116296849768684	9.807604921685786e-05	0.0005993219833472225	26
mesp2	16	293.5207221885461	0.010230034440593347	0.025498345685348044	0.00011390458902316455	0.0008393705662140885	0.00016206100396359236	0.0016511071454981693	8.724864938792533e-05	0.0006783749769004299	18
mesp2	17	311.30985686663985	0.024216441181882237	0.048733882166803986	6.073787024943677e-05	0.00046597943588659867	9.07905856464753e-05	0.0010276043754564096	5.5588692532969146e-05	0.0004392961696729727	8
mesp2	18	329.0989915447335	0.0026396436799196793	0.0052792873598393585	1.2408968044847052e-05	9.88208765864229e-05	2.5688935694887917e-05	0.0003781963608261405	9.086060967886012e-06	7.340182198187362e-05	5
mesp2	19	346.88812622282717	4.763796561372643e-05	6.737025705479504e-05	6.307894588417562e-08	5.124557788869962e-07	2.5435653323498967e-06	0.00010814016093860613	1.4495834770775365e-08	1.1776471838503634e-07	3
mesp2	20	364.67726090092094	0.0	0.0	0.0	0.0	4.250003270012866e-06	8.175257463016624e-05	0.0	0.0	2
mesp2	21	382.4663955790146	0.0	0.0	0.0	0.0	-4.599687992895008e-07	8.48307751677366e-05	0.0	0.0	2
mesp2	22	400.25553025710826	0.0	0.0	0.0	0.0	3.8032996024893353e-06	4.985218019198329e-05	0.0	0.0	2
mesp2	23	418.04466493520204	0.0	0.0	0.0	0.0	3.808241373474951e-06	2.503628015118424e-05	0.0	0.0	1
foxf1	0	8.894567339046851	0.3690992066515792	0.23629852345255445	0.0415111117984242	0.026930833416372688	0.057205233905848016	0.02260637925836112	0.028303076077452197	0.029231640084992908	28
foxf1	1	26.683702017140554	0.2825794901149402	0.22478425305542782	0.045125078211348535	0.032194971955973456	0.07210830520728523	0.02785218892217372	0.032076736140662025	0.033160665850913984	67
