cohort_label	file_id	file_path	marker_key	bin_index	bin_center_um	positive_fraction	positive_intensity_fraction	intensity_fraction	soft_intensity_fraction
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	0	8.894567339046851				
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	1	26.683702017140554	0.033910446889692594	0.011324843616984078	0.08677342486429084	0.00197119351748625
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	2	44.47283669523426	0.02901475114806928	0.009733264799097223	0.08292780088550768	0.0019869812274445446
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	3	62.26197137332796	0.04643828035499027	0.015990868170863787	0.07901033347518549	0.00329686602095178
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	4	80.05110605142167	0.10093106451397652	0.04084924515174355	0.0802412942347425	0.01984127728945876
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	5	97.84024072951536	0.14378840534824022	0.06891733666902836	0.08264655972989508	0.0585778501011274
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	6	115.62937540760907	0.16762620415518953	0.079256440346845	0.07702577967847331	0.07149274488812898
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	7	133.41851008570276	0.19546101774699487	0.08122020205167814	0.06656697173632359	0.06855038298783692
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	8	151.20764476379648	0.26199652485759206	0.0834250975840993	0.056739974842081806	0.06027175862944509
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	9	168.99677944189017	0.30502874413900005	0.08702179770467491	0.05190889339323116	0.07072528815958849
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	10	186.7859141199839	0.39541107253524155	0.09543325162684234	0.050616106063067046	0.09535478623427539
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	11	204.57504879807757	0.6176970375904257	0.09876229015999523	0.0502269656264963	0.11288142101452157
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	12	222.3641834761713	0.744060834386128	0.09849257340753723	0.049236867922968705	0.12606893184681134
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	13	240.15331815426498	0.786525312321281	0.09335645330337525	0.046121698664130066	0.1299743982874199
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	14	257.9424528323587	0.803990414098028	0.08076546848912511	0.03970153517906732	0.11699573936896371
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	15	275.7315875104524	0.7547889911109041	0.050202265052634615	0.02542317575929577	0.06546763497627711
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	16	293.5207221885461	0.3961764255023945	0.013875143594733921	0.0078736465495033	0.015185202163388718
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	17	311.30985686663985		0.00048420300602282005	0.0006095793702007516	0.00010697222249357228
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	18	329.0989915447335		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	19	346.88812622282717		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	20	364.67726090092094		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	21	382.4663955790146		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	22	400.25553025710826		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	foxf1	23	418.04466493520204		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	0	8.894567339046851				
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	1	26.683702017140554	0.6387214759029396	0.138358296522028	0.13596901082388202	0.14919174500755047
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	2	44.47283669523426	0.6367577963269522	0.13226015592045676	0.12993955924794381	0.140993003636036
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	3	62.26197137332796	0.6345206541411056	0.12340673720750245	0.12123668302438936	0.12912201074870772
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	4	80.05110605142167	0.6347896072370571	0.11478024328522526	0.11304343539407134	0.11791312346705633
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	5	97.84024072951536	0.6240181492107856	0.10165185907954133	0.10100146306817104	0.10130400171497338
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	6	115.62937540760907	0.6121176392199765	0.08706894850619808	0.08737624668291913	0.0829646697625092
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	7	133.41851008570276	0.6330364241213209	0.07505213786002217	0.07601429892933556	0.06820231372841216
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	8	151.20764476379648	0.7032307389527339	0.06040550766096038	0.06173745348569978	0.05042316299732724
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	9	168.99677944189017	0.6208647802496648	0.03586262098856465	0.03959868759968417	0.024024292253964522
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	10	186.7859141199839	0.2906334103104377	0.01156553858094245	0.017447604622946516	0.006180303941854225
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	11	204.57504879807757	0.05150923518515066	0.0015307957090323829	0.004202385820872777	0.0006688283110933887
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	12	222.3641834761713	0.000833142900670312	9.980442662435115e-06	0.0001277074663104704	1.185845129394497e-06
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	13	240.15331815426498	0.0	0.0	-0.0008038285201696156	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	14	257.9424528323587	0.0	0.0	-0.001036869128027396	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	15	275.7315875104524	0.0	0.0	-0.0009182123634916039	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	16	293.5207221885461	0.0	0.0	-0.0004042449367868634	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	17	311.30985686663985		0.0	-6.263218388433817e-05	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	18	329.0989915447335		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	19	346.88812622282717		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	20	364.67726090092094		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	21	382.4663955790146		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	22	400.25553025710826		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	mesp2	23	418.04466493520204		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	0	8.894567339046851				
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	1	26.683702017140554	0.382463933016264	0.09570483032812531	0.10151490465410154	0.0960268428659063
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	2	44.47283669523426	0.38333412810390716	0.10210162066744638	0.10502548525381726	0.11000942098893955
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	3	62.26197137332796	0.3762960593542923	0.10173016175004808	0.10372037547940735	0.11286789047886049
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	4	80.05110605142167	0.37497276891817777	0.09671643027708664	0.0990380178940325	0.1054397381984021
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	5	97.84024072951536	0.3663843089868498	0.0852816583480584	0.09032476816418358	0.08713194066296667
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	6	115.62937540760907	0.385046051139455	0.07611882046921499	0.08077982191940195	0.06829933717060464
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	7	133.41851008570276	0.42446529715234604	0.07158281694499326	0.07205394838221038	0.05942433962178871
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	8	151.20764476379648	0.4875865750639246	0.07144283762313526	0.06571320727238462	0.06363920402494684
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	9	168.99677944189017	0.4784946753321796	0.06984084237311433	0.06208995801271026	0.07372324258098739
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	10	186.7859141199839	0.4855724376928531	0.05946789125698433	0.05109018452027089	0.068041743480158
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	11	204.57504879807757	0.6750570993667068	0.04702072544261434	0.03722058966500045	0.051283616973149884
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	12	222.3641834761713	0.7566465248355181	0.033705225415560286	0.0262163070097785	0.030955015954338472
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	13	240.15331815426498	0.5805862683801319	0.017908594112417686	0.016467835545433542	0.012115455092596384
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	14	257.9424528323587	0.19220620947004885	0.004600137618267651	0.008782642323775229	0.0021749757742286066
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	15	275.7315875104524	0.017854390487059335	0.0002914843445120217	0.004017802975003015	4.013950105234149e-05
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	16	293.5207221885461	0.0	0.0	0.0011620127832361533	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	17	311.30985686663985		0.0	0.00011865885356521805	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	18	329.0989915447335		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	19	346.88812622282717		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	20	364.67726090092094		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	21	382.4663955790146		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	22	400.25553025710826		0.0	0.0	0.0
2026-01-02	1	data/day5 after fix and stain for PAX8-647/1.czi	pax8	23	418.04466493520204		0.0	0.0	0.0
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	0	8.894567339046851				
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	1	26.683702017140554	0.19815086076229135	0.057081043192310096	0.0711288223446162	0.020301215843624536
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	2	44.47283669523426	0.1999107145733319	0.060143533450168825	0.071892575636506	0.026304011997571312
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	3	62.26197137332796	0.1976058326905818	0.06413268895472535	0.07600349176379796	0.035306834662818365
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	4	80.05110605142167	0.17645096717916825	0.06398169030277684	0.0789294093432617	0.0459811331645908
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	5	97.84024072951536	0.16712919573546908	0.06850677884875647	0.0825184571828576	0.06142907263787941
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	6	115.62937540760907	0.16493429370273316	0.07684259958535701	0.0840423320431522	0.08121545179635026
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	7	133.41851008570276	0.16644842923952968	0.08757625379089556	0.08591184628149823	0.10368841376291121
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	8	151.20764476379648	0.18760051667098307	0.09625159084091597	0.08529111380942263	0.1244921143476771
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	9	168.99677944189017	0.24320988196704993	0.10128427510246008	0.08266157119636369	0.1350294965332003
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	10	186.7859141199839	0.29305176840247776	0.09579018700188417	0.07696529999608462	0.12775244675245
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	11	204.57504879807757	0.29726092647582264	0.08592428714663938	0.06919049919612626	0.11484614369318823
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	12	222.3641834761713	0.32046121910086994	0.06608815121940331	0.05273315472979985	0.08641514534001536
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	13	240.15331815426498	0.3956631261720124	0.03368782603902898	0.02742720252497935	0.03718398263467468
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	14	257.9424528323587	0.3165015473837932	0.0075947338325681076	0.0067279015767065	0.00656551736846629
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	15	275.7315875104524		0.0002445328502631313	0.0003850398364942213	4.870883989505916e-05
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	16	293.5207221885461		0.0	0.0	0.0
2026-01-02	2	data/day5 after fix and stain for PAX8-647/2.czi	foxf1	17	311.30985686663985		0.0	0.0	0.0
