treatment_key,frame,elapsed_hours,n_scenes,+-_mean,+-_sem,-+_mean,-+_sem,++_mean,++_sem,absolute_hours
14hr_basal,0,0.0,4,11.999999999999996,3.1091263510296043,0.0,0.0,0.0,0.0,16.5
14hr_basal,1,0.1666666666666666,4,10.999999999999998,1.9578900207451215,0.49999999999999933,0.28867513459481253,0.0,0.0,16.666666666666668
14hr_basal,2,0.3333333333333333,4,15.0,3.5355339059327378,0.25,0.25,0.0,0.0,16.833333333333332
14hr_basal,3,0.5,4,14.0,2.972092416687834,0.24999999999999975,0.24999999999999972,0.0,0.0,17.0
14hr_basal,4,0.6666666666666666,4,15.249999999999996,2.9261749776799064,0.0,0.0,0.0,0.0,17.166666666666668
14hr_basal,5,0.8333333333333334,4,15.249999999999998,2.8975564417856194,0.2499999999999985,0.2499999999999985,0.0,0.0,17.333333333333332
14hr_basal,6,1.0,4,15.75,3.567795771434608,0.7499999999999988,0.47871355387816805,0.0,0.0,17.5
14hr_basal,7,1.1666666666666667,4,16.5,2.6299556396765844,0.25,0.25,0.0,0.0,17.666666666666668
14hr_basal,8,1.3333333333333333,4,15.499999999999996,2.9580398915498067,0.24999999999999992,0.24999999999999992,0.0,0.0,17.833333333333332
14hr_basal,9,1.5,4,17.0,3.0822070014844876,0.0,0.0,0.0,0.0,18.0
14hr_basal,10,1.6666666666666667,4,16.75,3.092329219213245,1.2499999999999978,0.7499999999999989,0.0,0.0,18.166666666666668
14hr_basal,11,1.8333333333333333,4,18.0,3.391164991562635,0.9999999999999991,0.7071067811865468,0.0,0.0,18.333333333333332
14hr_basal,12,2.0,4,17.0,2.798809270624443,1.2499999999999973,0.6291528696058948,0.0,0.0,18.5
14hr_basal,13,2.1666666666666665,4,19.75,3.1983068437325812,0.24999999999999825,0.24999999999999825,0.0,0.0,18.666666666666668
14hr_basal,14,2.3333333333333335,4,17.749999999999996,3.8378596465564856,0.24999999999999972,0.2499999999999997,0.24999999999999972,0.2499999999999997,18.833333333333332
14hr_basal,15,2.5,4,19.0,3.696845502136472,0.2499999999999985,0.2499999999999985,0.2499999999999985,0.2499999999999985,19.0
14hr_basal,16,2.6666666666666665,4,19.999999999999996,3.0822070014844876,0.24999999999999833,0.24999999999999833,0.25,0.25,19.166666666666668
14hr_basal,17,2.8333333333333335,4,19.0,3.1885210782848317,0.25,0.25,0.499999999999999,0.2886751345948123,19.333333333333332
14hr_basal,18,3.0,4,18.25,3.4490336810958127,0.24999999999999903,0.24999999999999906,0.49999999999999634,0.28867513459481076,19.5
14hr_basal,19,3.1666666666666665,4,19.75,4.269562819149833,0.49999999999999956,0.28867513459481264,0.4999999999999987,0.28867513459481214,19.666666666666668
14hr_basal,20,3.3333333333333335,4,20.0,3.582364210034113,0.49999999999999745,0.28867513459481137,0.49999999999999745,0.28867513459481137,19.833333333333332
14hr_basal,21,3.5,4,21.5,3.278719262151001,0.25,0.25,0.4999999999999982,0.28867513459481187,20.0
14hr_basal,22,3.6666666666666665,4,20.75,3.3757715167548494,0.49999999999999983,0.4999999999999999,0.25,0.25,20.166666666666668
14hr_basal,23,3.8333333333333335,4,23.75,4.479118216792229,0.0,0.0,0.25,0.25,20.333333333333332
14hr_basal,24,4.0,4,24.25,3.816084380618436,0.7499999999999981,0.47871355387816833,0.0,0.0,20.5
14hr_basal,25,4.166666666666667,4,23.5,2.5331140255951112,0.7499999999999998,0.4787135538781689,0.24999999999999975,0.24999999999999975,20.666666666666668
14hr_basal,26,4.333333333333333,4,26.0,3.3166247903553994,1.2499999999999973,0.7499999999999982,0.49999999999999806,0.28867513459481176,20.833333333333332
14hr_basal,27,4.5,4,24.75,4.130677910464577,0.24999999999999903,0.24999999999999906,0.4999999999999989,0.28867513459481225,21.0
14hr_basal,28,4.666666666666667,4,25.0,4.69041575982343,0.24999999999999936,0.24999999999999936,0.24999999999999914,0.24999999999999914,21.166666666666668
14hr_basal,29,4.833333333333333,4,25.999999999999996,5.2915026221291805,0.49999999999999856,0.28867513459481203,0.24999999999999858,0.2499999999999986,21.333333333333332
14hr_basal,30,5.0,4,22.499999999999993,3.6170890690351167,0.4999999999999997,0.49999999999999967,0.49999999999999706,0.2886751345948112,21.5
14hr_basal,31,5.166666666666667,4,26.0,4.020779360604939,0.7499999999999969,0.4787135538781666,0.4999999999999996,0.28867513459481264,21.666666666666668
14hr_basal,32,5.333333333333333,4,24.25,3.6371921404658667,0.0,0.0,0.4999999999999981,0.2886751345948118,21.833333333333332
14hr_basal,33,5.5,4,24.75,3.4247870980057527,0.2499999999999982,0.2499999999999982,0.749999999999997,0.4787135538781677,22.0
14hr_basal,34,5.666666666666667,4,23.999999999999996,3.082207001484488,0.0,0.0,0.49999999999999983,0.49999999999999983,22.166666666666668
14hr_basal,35,5.833333333333333,4,25.0,3.265986323710903,0.4999999999999997,0.28867513459481275,0.2499999999999987,0.2499999999999987,22.333333333333332
