treatment_key,frame,elapsed_time_hours,n_scenes,foxf1_bgsub_mean_mean,foxf1_bgsub_mean_sem,bmp4_bgsub_mean_mean,bmp4_bgsub_mean_sem,absolute_hours
14hr_basal,0,0.0,4,12.015053491280046,2.2672856190056487,29.306334606967045,1.4000599726876488,16.5
14hr_basal,1,0.1666666666666666,4,10.36497657612757,1.3746198106517795,30.260102187867933,0.8616960194292899,16.666666666666668
14hr_basal,2,0.3333333333333333,4,10.785046343135468,1.1185410391355737,29.456522262994053,0.6056879131917592,16.833333333333332
14hr_basal,3,0.5,4,11.740145059566972,2.389402645436352,29.69107624580819,1.132258673652092,17.0
14hr_basal,4,0.6666666666666666,4,11.001563109777836,1.5912162192935533,29.717962484880996,0.8967868032284818,17.166666666666668
14hr_basal,5,0.8333333333333334,4,12.079612434582575,1.642401695393166,29.856583109162287,0.8806096318097322,17.333333333333332
14hr_basal,6,1.0,4,11.674792027854078,1.8886802327546333,29.607497271522863,1.4245738651106248,17.5
14hr_basal,7,1.1666666666666667,4,11.195449030773652,1.287501881998442,30.16527348945894,0.7587209143586057,17.666666666666668
14hr_basal,8,1.3333333333333333,4,11.332748654085634,1.2781510062933983,30.629740378295843,0.5506414862487155,17.833333333333332
14hr_basal,9,1.5,4,12.40811760457612,1.9795319835980623,29.357256535953603,1.5191559975362023,18.0
14hr_basal,10,1.6666666666666667,4,10.322781852916687,1.3474940690253618,30.485655550019324,1.4009915791200875,18.166666666666668
14hr_basal,11,1.8333333333333333,4,12.354319391215885,1.1713376644942508,32.070164174068665,1.6446365791432573,18.333333333333332
14hr_basal,12,2.0,4,12.192190076702303,1.4174417190499429,32.17567029575885,1.6065028357952484,18.5
14hr_basal,13,2.1666666666666665,4,11.457561384943647,0.39844933401444393,30.715046807093028,0.8132537526757314,18.666666666666668
14hr_basal,14,2.3333333333333335,4,12.731830931835102,1.7822591438984425,30.20244811518561,0.6971166160781497,18.833333333333332
14hr_basal,15,2.5,4,13.228724927056597,2.0616286156212578,31.354689467746425,0.07728064038452953,19.0
14hr_basal,16,2.6666666666666665,4,12.060313459612082,0.8125297222948819,30.688653822513416,0.7948497900646172,19.166666666666668
14hr_basal,17,2.8333333333333335,4,14.419110963525524,2.2626890863752633,30.085392315496282,1.1974784798131184,19.333333333333332
14hr_basal,18,3.0,4,13.052340583009242,1.685778374605716,30.96510771733627,0.6068993836181732,19.5
14hr_basal,19,3.1666666666666665,4,13.320745673609101,1.5177113657707724,32.34135848353545,0.5268217074869581,19.666666666666668
14hr_basal,20,3.3333333333333335,4,14.991193480451987,1.967136515372092,31.956142197262153,0.2605467977711025,19.833333333333332
14hr_basal,21,3.5,4,14.877821254589746,2.7789063975410215,31.383150425945747,0.9963815333433454,20.0
14hr_basal,22,3.6666666666666665,4,13.52247171859593,2.2436086683141667,30.40183421096512,0.6186311851392869,20.166666666666668
14hr_basal,23,3.8333333333333335,4,13.351348036859743,0.8017187953946739,30.89098661405254,0.6148018096897782,20.333333333333332
14hr_basal,24,4.0,4,13.249349682200343,1.3954511366194364,31.417332338704227,0.869620839319726,20.5
14hr_basal,25,4.166666666666667,4,13.865335732352085,0.6395652948664378,32.058025546449365,0.38291984388344585,20.666666666666668
14hr_basal,26,4.333333333333333,4,14.74476653987363,2.7070424618215805,31.955311668315773,0.8095981967073821,20.833333333333332
14hr_basal,27,4.5,4,13.821920765375408,0.6780249382422692,31.01221459391648,0.8584791641434879,21.0
14hr_basal,28,4.666666666666667,4,15.249198370142413,2.4243493979811293,30.846917346575115,0.7370627121066864,21.166666666666668
14hr_basal,29,4.833333333333333,4,13.446593590916574,1.6368883959114915,31.62342660534128,0.8035649110892797,21.333333333333332
14hr_basal,30,5.0,4,15.856017991034463,2.585414571532792,32.60398699687751,0.9241140518728918,21.5
14hr_basal,31,5.166666666666667,4,12.669180211500661,0.8260726922275051,31.407624736959782,0.540032490228861,21.666666666666668
14hr_basal,32,5.333333333333333,4,15.811671926162141,1.990736062082255,31.65656801550869,0.7282340293029321,21.833333333333332
14hr_basal,33,5.5,4,14.653760246243742,2.605315001783001,31.651155815853343,0.838842125933204,22.0
14hr_basal,34,5.666666666666667,4,16.63093791366942,2.572183342158572,30.986029331815836,1.5786421853456387,22.166666666666668
14hr_basal,35,5.833333333333333,4,14.817294932931318,1.993802894682535,30.461881576521183,0.4588008745135913,22.333333333333332
14hr_basal,36,6.0,4,17.586038088726454,1.9752460671817673,29.937675235309573,1.2411983252894203,22.5
14hr_basal,37,6.166666666666667,4,15.100759823002386,1.2738425782144132,31.49799115567718,1.0408654049298531,22.666666666666668
14hr_basal,38,6.333333333333333,4,14.30109513282934,2.6171593809657616,32.305038455377215,0.4884269589989615,22.833333333333332
14hr_basal,39,6.5,4,16.031618474820775,2.5148661765497247,33.07527824518688,0.7430827439036019,23.0
14hr_basal,40,6.666666666666667,4,13.870229110477105,1.8264971321265073,31.861266183708672,0.529490866613521,23.166666666666668
14hr_basal,41,6.833333333333333,4,15.01374152002445,1.6062257839186962,31.281214566686614,0.8527975132017932,23.333333333333332
14hr_basal,42,7.0,4,15.156872469748368,2.2947794474389522,31.70380823842341,0.6532001932528111,23.5
14hr_basal,43,7.166666666666667,4,15.032012482356773,1.0164588314841934,32.72030246239794,0.5180221424918284,23.666666666666668
14hr_basal,44,7.333333333333333,4,16.432687362725403,2.1205711247074928,31.763913947937745,0.9104154371903568,23.833333333333332
14hr_basal,45,7.5,4,14.336502679070144,2.0533636703483165,32.03290931360645,0.8277851201323417,24.0
14hr_basal,46,7.666666666666667,4,12.038776808489105,1.1317888836434384,31.729720581232968,0.7944936681750829,24.166666666666668
