axis	edge_index	edge
foxf1	0	-0.30000000000000004
foxf1	1	-0.2802083333333334
foxf1	2	-0.2604166666666667
foxf1	3	-0.24062500000000003
foxf1	4	-0.22083333333333338
foxf1	5	-0.2010416666666667
foxf1	6	-0.18125000000000002
foxf1	7	-0.16145833333333337
foxf1	8	-0.1416666666666667
foxf1	9	-0.12187500000000001
foxf1	10	-0.10208333333333336
foxf1	11	-0.08229166666666668
foxf1	12	-0.0625
foxf1	13	-0.04270833333333335
foxf1	14	-0.022916666666666696
foxf1	15	-0.003124999999999989
foxf1	16	0.016666666666666663
foxf1	17	0.036458333333333315
foxf1	18	0.05625000000000002
foxf1	19	0.07604166666666667
foxf1	20	0.09583333333333333
foxf1	21	0.11562500000000003
foxf1	22	0.13541666666666669
foxf1	23	0.15520833333333334
foxf1	24	0.17500000000000004
foxf1	25	0.1947916666666667
foxf1	26	0.21458333333333335
foxf1	27	0.234375
foxf1	28	0.25416666666666665
foxf1	29	0.2739583333333334
foxf1	30	0.29375000000000007
foxf1	31	0.3135416666666667
foxf1	32	0.33333333333333337
foxf1	33	0.353125
foxf1	34	0.3729166666666667
foxf1	35	0.3927083333333333
foxf1	36	0.4125000000000001
foxf1	37	0.43229166666666674
foxf1	38	0.4520833333333334
foxf1	39	0.47187500000000004
foxf1	40	0.4916666666666667
foxf1	41	0.5114583333333333
foxf1	42	0.5312500000000001
foxf1	43	0.5510416666666668
foxf1	44	0.5708333333333334
foxf1	45	0.5906250000000001
foxf1	46	0.6104166666666667
foxf1	47	0.6302083333333334
foxf1	48	0.6500000000000001
foxf1	49	0.6697916666666668
foxf1	50	0.6895833333333334
foxf1	51	0.7093750000000001
foxf1	52	0.7291666666666667
foxf1	53	0.7489583333333334
foxf1	54	0.76875
foxf1	55	0.7885416666666667
foxf1	56	0.8083333333333333
foxf1	57	0.828125
foxf1	58	0.8479166666666669
foxf1	59	0.8677083333333335
foxf1	60	0.8875000000000002
foxf1	61	0.9072916666666668
foxf1	62	0.9270833333333335
foxf1	63	0.9468750000000001
foxf1	64	0.9666666666666668
foxf1	65	0.9864583333333334
foxf1	66	1.00625
foxf1	67	1.0260416666666667
foxf1	68	1.0458333333333334
foxf1	69	1.065625
foxf1	70	1.0854166666666667
foxf1	71	1.1052083333333336
foxf1	72	1.1250000000000002
foxf1	73	1.1447916666666669
foxf1	74	1.1645833333333335
foxf1	75	1.1843750000000002
foxf1	76	1.2041666666666668
foxf1	77	1.2239583333333335
foxf1	78	1.2437500000000001
foxf1	79	1.2635416666666668
foxf1	80	1.2833333333333334
foxf1	81	1.303125
foxf1	82	1.3229166666666667
foxf1	83	1.3427083333333334
foxf1	84	1.3625000000000003
foxf1	85	1.382291666666667
foxf1	86	1.4020833333333336
foxf1	87	1.4218750000000002
foxf1	88	1.4416666666666669
foxf1	89	1.4614583333333335
foxf1	90	1.4812500000000002
foxf1	91	1.5010416666666668
foxf1	92	1.5208333333333335
foxf1	93	1.5406250000000001
foxf1	94	1.5604166666666668
foxf1	95	1.5802083333333334
foxf1	96	1.6
bmp4	0	-0.75
bmp4	1	-0.7135416666666666
bmp4	2	-0.6770833333333334
bmp4	3	-0.640625
bmp4	4	-0.6041666666666666
bmp4	5	-0.5677083333333333
bmp4	6	-0.53125
bmp4	7	-0.49479166666666663
bmp4	8	-0.4583333333333333
bmp4	9	-0.421875
bmp4	10	-0.38541666666666663
bmp4	11	-0.3489583333333333
bmp4	12	-0.3125
bmp4	13	-0.27604166666666663
bmp4	14	-0.23958333333333326
bmp4	15	-0.203125
bmp4	16	-0.16666666666666663
bmp4	17	-0.13020833333333326
bmp4	18	-0.09375
bmp4	19	-0.05729166666666663
bmp4	20	-0.02083333333333326
bmp4	21	0.015625
bmp4	22	0.05208333333333337
bmp4	23	0.08854166666666674
bmp4	24	0.125
bmp4	25	0.16145833333333337
