position_label	reporter	metric_name	halfmax_time_hours
Pos50	RFP	organoid_mean_intensity_z	11.873240324365566
Pos50	YFP	organoid_mean_intensity_z	18.648290728928256
Pos51	RFP	organoid_mean_intensity_z	10.778925793579818
Pos51	YFP	organoid_mean_intensity_z	20.100706247141495
Pos52	RFP	organoid_mean_intensity_z	9.427407917754524
Pos52	YFP	organoid_mean_intensity_z	61.39676002661507
Pos53	RFP	organoid_mean_intensity_z	16.96751453730779
Pos53	YFP	organoid_mean_intensity_z	36.319184808331705
Pos54	RFP	organoid_mean_intensity_z	16.221703751039797
Pos54	YFP	organoid_mean_intensity_z	61.73660404995648
Pos55	RFP	organoid_mean_intensity_z	21.496328091677974
Pos55	YFP	organoid_mean_intensity_z	40.295261712876744
Pos56	RFP	organoid_mean_intensity_z	16.751130807589124
Pos56	YFP	organoid_mean_intensity_z	2.944684545018696
Pos57	RFP	organoid_mean_intensity_z	19.335312402522366
Pos57	YFP	organoid_mean_intensity_z	27.732092990835536
Pos58	RFP	organoid_mean_intensity_z	16.60848747286647
Pos58	YFP	organoid_mean_intensity_z	40.90956467509656
Pos59	RFP	organoid_mean_intensity_z	16.545034627259497
Pos59	YFP	organoid_mean_intensity_z	22.625132805232646
Pos6	RFP	organoid_mean_intensity_z	19.59952958251997
Pos6	YFP	organoid_mean_intensity_z	36.70498103970508
Pos60	RFP	organoid_mean_intensity_z	13.62480496624287
Pos60	YFP	organoid_mean_intensity_z	22.180712009247994
Pos61	RFP	organoid_mean_intensity_z	18.268334207227326
Pos61	YFP	organoid_mean_intensity_z	36.52371716300939
Pos62	RFP	organoid_mean_intensity_z	9.476119318844479
Pos62	YFP	organoid_mean_intensity_z	58.421739361911605
Pos63	RFP	organoid_mean_intensity_z	15.852868303175283
Pos63	YFP	organoid_mean_intensity_z	14.452777862510038
Pos64	RFP	organoid_mean_intensity_z	20.575669582251738
Pos64	YFP	organoid_mean_intensity_z	46.397878476318596
Pos7	RFP	organoid_mean_intensity_z	15.321785881017304
Pos7	YFP	organoid_mean_intensity_z	33.81461915825615
Pos8	RFP	organoid_mean_intensity_z	25.63254464772954
Pos8	YFP	organoid_mean_intensity_z	21.676835313690383
Pos9	RFP	organoid_mean_intensity_z	14.74398270980036
Pos9	YFP	organoid_mean_intensity_z	32.78451379582796
Pos0	RFP	positive_fraction_sigma2	11.26547344076276
Pos0	YFP	positive_fraction_sigma2	56.91677767736271
Pos1	RFP	positive_fraction_sigma2	17.67420378735806
Pos1	YFP	positive_fraction_sigma2	25.246015911301615
Pos10	RFP	positive_fraction_sigma2	5.087715583977462
Pos10	YFP	positive_fraction_sigma2	26.017309829434353
Pos11	RFP	positive_fraction_sigma2	7.016326594980207
Pos11	YFP	positive_fraction_sigma2	49.36421519384486
Pos12	RFP	positive_fraction_sigma2	11.085691303555418
Pos12	YFP	positive_fraction_sigma2	60.20292149599978
Pos13	RFP	positive_fraction_sigma2	6.9369142035839975
Pos13	YFP	positive_fraction_sigma2	49.57711805553487
Pos14	RFP	positive_fraction_sigma2	4.741311021181278
Pos14	YFP	positive_fraction_sigma2	25.596378364657888
Pos15	RFP	positive_fraction_sigma2	7.772253312750375
Pos15	YFP	positive_fraction_sigma2	16.769672323205878
Pos16	RFP	positive_fraction_sigma2	4.719904786417419
Pos16	YFP	positive_fraction_sigma2	47.03315155719998
Pos17	RFP	positive_fraction_sigma2	4.346715426860401
Pos17	YFP	positive_fraction_sigma2	35.96478791979469
Pos18	RFP	positive_fraction_sigma2	9.06516571870588
Pos18	YFP	positive_fraction_sigma2	48.84257032549824
Pos19	RFP	positive_fraction_sigma2	9.515509733639146
Pos19	YFP	positive_fraction_sigma2	57.640801922432274
Pos2	RFP	positive_fraction_sigma2	9.200399593474112
Pos2	YFP	positive_fraction_sigma2	26.373633446325567
Pos20	RFP	positive_fraction_sigma2	10.473042243283986
Pos20	YFP	positive_fraction_sigma2	52.22296536625323
Pos21	RFP	positive_fraction_sigma2	5.235820605836122
Pos21	YFP	positive_fraction_sigma2	37.8885274347966
Pos22	RFP	positive_fraction_sigma2	3.9704641694230216
Pos22	YFP	positive_fraction_sigma2	8.964068568723526
Pos23	RFP	positive_fraction_sigma2	9.261420437289775
Pos23	YFP	positive_fraction_sigma2	58.22407309302962
Pos24	RFP	positive_fraction_sigma2	5.647846655730885
Pos24	YFP	positive_fraction_sigma2	61.34249784797501
Pos25	RFP	positive_fraction_sigma2	5.174081355448542
Pos25	YFP	positive_fraction_sigma2	16.44746965078496
Pos26	RFP	positive_fraction_sigma2	4.683147700311824
Pos26	YFP	positive_fraction_sigma2	49.668052052980535
Pos27	RFP	positive_fraction_sigma2	7.333654473472442
Pos27	YFP	positive_fraction_sigma2	58.54981655592089
Pos28	RFP	positive_fraction_sigma2	14.035277453252204
Pos28	YFP	positive_fraction_sigma2	57.108404969531435
